ID	SRCID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	ANNOTATIONS	COMMENT
540	mountain	mountain	639	MOUNTAIN	spur / numbu kɨpmʌ / (?) / mountain / hill / note two different symbols, quotation mark and apostrophe / ɔřɔtɔ / his nose / a hill / mountain (inland) / +	
541	mouse	mouse	1491	MOUSE		
542	mouth	mouth	674	MOUTH	his mouth / inside mouth / '(outer) mouth' / mouth (of the river) / mouth; voice; edge / probable Aŋ. loans / -te 'our'? / 'the cognate with Warkaj tä is Jakaj ete lip' / my mouth / (outer), lip / [W] / Daga - nowa / + / mouth (my) / [v] with ̧ underneath? / mouth (his) / 'outer mouth' / door, doorway, threshold, portal, entry / [O] / mouth, mouth of river / space / mouth (from Yareba?) / (outer) mouth, lip / mouth	
543	movement	movement				
544	mucus	mucus	208	NASAL MUCUS (SNOT)		
545	mud	mud	640	MUD	note  ̣ under both γ	
546	murder	murder	845	MURDER		
547	muscle	muscle	1004	MUSCLE		
548	mushroom	mushroom	641	MUSHROOM		
549	musical-instrument	musical instrument			rattle / made from coconut shell	
550	mustard	mustard	3181	MUSTARD		
551	my	my (pronoun p:1s)	2090	MY	gen.	
552	nail	nail	502	NAIL (TOOL)		
553	naked	naked	590	NAKED		
554	name	name	1405	NAME	my name / namesake / (its) name / name / 'your name' / ? / name (his) / is this [eslba]? / his name / +	
555	nape	nape	1347	NAPE (OF NECK)	nape (at top join …) / mountain top / nape of neck / nod / neck / back part of things / nape (base of neck back) / nape / back of neck; base of skull to shoulders / nape (of the neck)	
556	narrow	narrow	1267	NARROW	[?] / meaning uncertain	
557	navel	navel	1838	NAVEL	navel and umbilical cord / navel; umbilical cord / navel (my) / navel / my navel / +	
558	near	near	1942	NEAR	near in time and space / near / - / close	
559	neck	neck	1333	NECK	neck (my) / its neck / also throat / my name / throat / neck (nape) / my neck / 'throat' / nape of neck / Boa: mɔŋgɔ = part of shaft of paddle just above the blade / larynx / neck / neck, tune / ? / neck (his) / nape / neck, nape / back of neck / neck (front) / Daga - megewa / +	
560	necklace-beads	necklace (beads)				
561	necklace-dogs-teeth	necklace (dogs teeth)				
562	needle	needle	1382	NEEDLE (FOR SEWING)	also 'sew'	
563	needlefish-sp	needlefish sp.			gar fish, halfbeak / Long-tom family of fish / sword fish, garfish	
564	negation-marker	negation-marker	1240	NOT		
565	negative	negative				
566	nephew	nephew	1063	NEPHEW		
567	nest	nest	539	NEST	[W] / bird's nest / nest / nest (for bird, spider, insects)	
568	net	net	2963	NET	pig net / land trap, net arrangement; slashes in tapa cloth / net / pigs' bristles / net for trapping pigs or fish	
569	net-bag	net bag 	293	NETBAG	netbag / +	
570	nettle	nettle	33	NETTLE	nettle variety	
571	new	new	1231	NEW	adj / new, different, fresh, unused / kail'e / new (house) / new / green wood, young person / new, young / (?) / new thing / new, young, fresh / new of house / a~e / new (of house) / new; young / ? / hauwana / +	
572	newborn	newborn			[P]	
573	night	night	1233	NIGHT	kwitda'ma / evening / [A] / middle (as in, middle of the night) / also 'darkness' / night / nights, at night / late at night, middle of night / night; dark, black / dark / darkness, night / black / night, dark / - / night; darkness / night, yesterday / darkness / p'attα=dark / night, darkness / very short 'ä' / pitch darkness; clearing of skies after rainstorm / questionmark not glottal stop in original  / night (darkness)	
574	nine	nine	1483	NINE	2+2+2+2+1 / 5+2+2 / nine / Austronesian loanword? / < AN / 5+4	
575	nineteen	nineteen	1714	NINETEEN		
576	nipa-fruit	nipa fruit				Nypa fruticans
577	nipa-palm	nipa palm			type of nipa palm leaves used for roofing materials / nipa palm / a hard palm	
578	nipple	nipple	796	NIPPLE		
579	noise	noise	1182	NOISE	movement, commotion / surprise / noisy (much talk) / noise, sound; movement / noise / noise, sound	
580	nominal-collective	nominal collective				
581	no-not	no, not	1269	NO	is not, no / no! / negation / no / not (much) / 'nothing, only' / not / not (good) / no  / - / not, none	
582	noontime	noontime	2490	NOON	An. loanʔ	
583	noose-trap-net	noose, trap, net	1075	TRAP (PITFALL)	trap, net / pull string on trap / noose, trap	
584	nose	nose	1221	NOSE	'nostril' / am togut 'nipple' / nose; corner; point of land, objects / nose, point of a peninsula, point of a talk / glottal optional / his nose / nose (my) / nose; point: either a point of land, a promontory, or a point for discussion / (its) nose / my nose / Daga - ginewa / -te 'our'? / nose; point of a peninsula; point of a talk / nose / +	
585	nose-bone	nose-bone				
586	nostril	nostril	1178	NOSTRIL	perhaps 'mucus-passage' (see nasal mucus).	
587	not	not	1240	NOT	big, not small / without, negative opposite / deaf / nothing / silent / 'without', not / toothless / prefix or suffix? / none / strong negative / or not / not / blunt / not, no / verb suffix / not, nothing / un-	
588	nothing	nothing	687	NOTHING	[A] dumb / nothing, empty / empty	
589	not_know	not know			not know	
590	now	now	1376	NOW	now / +	
591	nut	nut	191	NUT	hard nutshell (pangium edule) / (pandanus) / areca nut / pandanus / rattle (instrument) (on legs) / betel nut	
592	oar	oar	3137	OAR		
593	ochre	ochre			red ochre	
594	odour	odour			destitute / bad smell, bilge water / smell, odour, foul smell / odour, stink / stink, bad smell / odour	
595	old	old	1229	OLD	'elder', 'adult' / old / -. old house / old house / old (of things only) / old person (woman) / old person (man) / (house) / /people / old person / 'be old' if used as Vcls 1 / old (of string bag, clothing) / yesterday / old (house) / (f) / (m) / of objects / a while ago / old (of humans, stones, wood, pigs) / - (of people) / old (person) / ki·sue / old man / old (man), old (woman) (very old) / old (thing) / old/dirty (mostly things) / to describe a house / old (man) / old of house / old (of house) / of people / old woman	
596	older-brother	older brother	1759	OLDER BROTHER	of a man / his elder brother / el. brother (his) / older brother / male speaking	
597	older-sister	older sister	1758	OLDER SISTER	older sister / el. sister (his)	
598	old-man	old man	406	OLD MAN	old man / baře kavani	
599	old-people	old (people)	725	OLD PERSON	'old, old man, elder brother' / 'old, old woman'	
600	old-woman	old woman	907	OLD WOMAN	old woman (inactive) / ? / old woman	
601	one	one	1493	ONE	only / three / 'taken from Galis' list' / whole / one / from Galis' list / each / menasi korumpai 'one stone' / -	
602	one-hundred	one hundred	1634	HUNDRED	Austronesian / one hundred / < AN? / ten tens	
603	only	only	1580	ONLY	only	
604	on-top	on top	57	ATOP		
605	opening	opening				
606	or	or	1014	OR	or (not) / or / and, but, or	
607	oral-cavity	oral cavity	2674	ORAL CAVITY		
608	ornament	ornament	917	ORNAMENT	made from boar tusks	
609	orphan	orphan	1149	ORPHAN		
610	or-pl-in-some-verbs	OR PL in some verbs			bite them / see them / break them	
611	or-sg-in-some-verbs	OR SG in some verbs			bite it / see it / break it	
612	other	other	197	OTHER	other people	
613	our	our (pronoun p:1p)	780	OUR	[S] / [Y] / gen.	
614	our-dual	our (two) (pronoun p:1p, dual)			gen.	
615	outside	outside	762	OUTSIDE		
616	over-there	over there				
617	owl	owl	735	OWL	white owl / little owl	
618	owner	owner	1036	OWNER		
619	paddle	paddle	234	PADDLE	arm/hand/paddle / steering paddle / paddle / slip / a paddle / cushion of wood that the canoe platform rests on, placed on top of the ki'ɸuru piece / paddle; motor / broom, rake / slick, slippery	
620	painful	painful	1129	PAINFUL	sick / pain	
621	painful-sick	painful, sick	2103	PAINFUL OR SICK	to hurt / be in pain / ill / pain / sick / pain, sick / Vcls 1 hurt / to be sick / Vcls 1 sick / =to be ill	
622	palm-cabbage	palm cabbage				Sebal; Cordyline fruticosa
623	palm-midrib	palm midrib				
624	palm-of-hand	palm (of hand)	1183	PALM OF HAND	palm / palm of hand / pad of cat's or dog's paw, palm of hand, sole of foot / palm of hand, sole of foot, face, front	
625	palm-roof	palm roof			palm leaf sewn for roof thatching / roof, nipa palm leaf roof / nipa palm roofing leaves	
626	palm-sp	palm sp.	1181	PALM TREE		
627	pan	pan	31	PAN		
628	pancreas	pancreas	3252	PANCREAS		
629	pandanus	pandanus	469	PANDANUS	pandanus / mango / marita / fruit-bearing pandanus, pandanus fruit / karuka	
630	pandanus-edible	pandanus (edible)				
631	pandanus-fruit	pandanus fruit				
632	pandanus-mat	pandanus mat			mat / mat (pandanus) / pandanus / mat for sitting / mat-making pandanus; mat / pandanus mat	
633	pandanus-net	pandanus (net)			fish net / net / pandanus (bush) / pandanus tree type, bark yields good string / pandanus, pig net of pandanus fibre / inner threads of the aerial root plant (Pandanus tectorius) used for weaving cloth, bands, fringes, etc.	
634	parrot	parrot	882	PARROT	green parrots and lorries: Two-Eyed Fig Parrot, Red-Breasted Pygmy Parrot, King Parrot X Red-Winged Parrot, Brehm's Parrot, New Guinea Eclectus Parrot (male) / female green King Parrot / parrot (generic term), Eclectus parrot / parrot / female Eclectus Parrot (Eclectus roratus)	
635	part	part	779	PART	half, part / remains of food, remnant / part / half full / hole in canoe or boat / water, river	
636	path	path	2252	PATH	- / path	
637	pawpaw	pawpaw	2445	PAPAYA	pawpaw	
638	penis	penis	1222	PENIS	penis / penis (archaic word) / +	
639	people	people	789	PEOPLE		
640	pepper	pepper	1385	PEPPER	pepper / pepper, piper methysticum / mustard pepper, mustard pepper leaf / mustard pepper leaf / mustard pepper leaf or tree (chewed with betel nut) / betel pepper / mustard (chewed with betel nut) / mustard pepper vine, mustard leaf, betel pepper leaf (chewed with betel nut) / mustard	
641	person	person	683	PERSON	Sanskrit / person / one (prn), people (of), group (of people) from, folk / [W] / person, human being / controller, owner, boss / person, people / man, person / Malay < Sanskrit / v?	
642	pig	pig	1337	PIG	wild / boar / sow / (d.) [assume it's domestic] / kᵊḷaḷe / pig / children (lit: 'dog pig') / (animal) pig / (+) / pɔl'u / domestic / (w.) [assume it's wild] / wild pig / domestic pig / Note there are two added morphemes [-mir (w.)] and [-non (d.)] I am not sure what these abbreviations stand for / (d.) [assume it's domesticated]	
643	pigeon	pigeon	1853	DOVE	pigeon sp. / (bird) pigeon species / Victoria Crowned Pigeon, Goura Victoria / ground pigeon / Victoria Crowned Pigeon (Goura victoria) / large Goura pigeon (Columbidae) / green fruit dove, pigeon (Columbidae); sound ri'ɸuɸu pigeon makes with its wings / crown pigeon / Goura pigeon	
644	pigeonparrot	pigeon/parrot			large pigeon, dove, family Columbidae / dove / parrot / large pigeons or fruit dove from the Columbidae family / dove, pigeon / bird, a species of pigeon / magpie	
645	pineapple-club	pineapple club	1763	CLUB	club (wooden or stone, not disc) / pineapple club / club (pineapple) / stone war club / fighting club / wooden club / pineapple club used in fighting / fighting club (pineapple) / club	
646	pine-tree	pine tree	1740	PINE		
647	pipe	pipe	1124	PIPE		
648	placename-suffix	placename suffix				
649	plank	plank	1227	BOARD		
650	plant	plant	653	PLANT (VEGETATION)	plant	
651	plate	plate	480	PLATE		
652	plateau-flat-land	plateau, flat land			flat land / on (top of)/along the ridge / plateau, land (flat)	
653	platform	platform	3269	PORCH	smoking rack; sitting verandah/porch connected to the main house; women's sitting verandah / verandah, raft / rack for drying or smoking fish and meat / bier / platform for smoking meat / platforms built in trees for protection in battle / platform (table, bed of a pick-up truck) / sitting porch; drying table / house / platform with roof but no nails / drying rack for fish or meat / table, platform / platform built in tree as refuge in wartime / tree house / ageing remains of important man's cadaver platform / platform built in tree for defense and protection / sitting platform, porch / sitting platform without roof / rack for baking, roasting, or smoking and drying; bed / table, platform for crockery and pot storage	
654	pl-suffix-on-kinship-nouns	PL suffix on kinship nouns			pl suffix on kinship nouns	
655	point	point				
656	pond	pond	2035	POND		
657	poor	poor	1674	POOR		
658	possessive-marker	possessive-marker			sg / pl	
659	possum	possum	470	POSSUM	possum variety	
660	pot	pot	1462	POT	clay pot or saucepan / bowl, pot / pot / claypot / clay pot / traditional clay pot	
661	pouch	pouch	2951	POUCH	string bag for sleeping a baby / marsupial's pouch, string bag for carrying baby / pouch (of mother wallaby) / pouch in marsupial, lower part of pelican's beak designed to hold immature offspring, string bag for holding babies	
662	power	power	2526	POWER		
663	prawn	prawn	238	PRAWNS		
664	predicative-possessive-suffix	predicative possessive suffix			predicative possessive suffix / Predictive possessive suffix	
665	pregnant	pregnant	1123	PREGNANT		
666	pubic-nut	pubic nut				
667	pubic-shell	pubic shell				
668	puffer-fish	puffer fish			puffer fish	
669	pumpkin	pumpkin	864	PUMPKIN		
670	purposive-verb-suffix	purposive verb suffix			'potential' / purpose / desiderative	
671	pus	pus	1808	PUS	'blood'	
672	python	python	1563	PYTHON		
673	quickly	quickly	2220	MOVE QUICKLY	quick(ly), fast / quick / quickly / -	
674	rack	rack	3176	RACK (FOR STORING FOOD)		
675	raft	raft	1664	RAFT	a raft / raft / boat, car, truck / outrigger canoe / canoe / boat / boat (canoe)	
676	rafter	rafter	829	RAFTER	doorstep / roof overhang / overhang of roof, terminal points of roof rafters / beams of house / rafters / ground sheltered by overhang of roof	
677	rain	rain	2108	RAINING OR RAIN	Daga - ugin / (AN loan < wet season) / 'sky-water' / rain / daf / +	
678	rainbow	rainbow	1733	RAINBOW	rippled / [W] / [P] / rainbow	
679	raised-land-ridge	raised land, ridge	1748	RIDGE	ridge of land / raised land, ridge / mountain	
680	rat	rat	1490	RAT	mouse / kenome / rat / mouse, rat / another word for mouse / həmu / generic (?) / (AN loan) / (marsupial?) mouse / general word for rodent / marsupial mouse / rat, mouse / mouse / rat / +	
681	rattan	rattan	2497	RATTAN	liana	
682	raw	raw	1959	RAW	uncooked, raw, young / uncooked, raw, new / uncooked	
683	reciprocal-action	reciprocal action			answer, response / in exchange, reciprocally / to exchange, buy, sell / reciprocal action / payback, reciprocal giving, reward, price / exchange, wages, reward / payback, retribution; answer	
684	recline	recline				
685	red	red	156	RED	red, blood / red parrot / (?) / red / red, brown / name of a certain sweet potato / red (Mokorua dialect) / flower / Questionmark used in original / to ignite palm leaf torch, ignite other things with palm leaf torch / bloodlike / adj (AN?? = Nochi tok) / - / be red	
686	relative	Relative	1644	RELATIVES	RELATIVE	
687	rest	rest	168	REST		
688	rib	rib	801	RIB	rib cage (also generally used for side) / side (of body) / ribs / to work hard (involves sweat), to exert oneself working up a sweat / side	
689	rice	rice	926	RICE	rice	
690	ridge-pole	ridge pole	280	RIDGEPOLE	ridge cap of a house / ridgecap / roof / ridge pole	
691	right-arm	right (arm)				
692	right-correct	right (correct, true)	1725	CORRECT (RIGHT)	correct / adj / big / real part of something; reality; essence, truth / meaning / true (lit: 'talk true') / truth, real part or substance of something / truth, true / true, really, very / reality, essence, truth / real/true / true / truth / be.true Att (attributive marker deriving a nominal modifier; ite does not occur on its own as a verb) / true, real	
693	right-hand	right (hand)	2183	RIGHT HAND	right hand / righthand / right	
694	right-side	right-side	1019	RIGHT	right (side) / right-side (his)	
695	ripe	ripe	178	RIPE	stale / ripe and juicy / generic term for banana (name avoidance form) / green, unripe / banana / green / green/stale / name avoidance word for banana (generic term) / wet; rotten / ripe (banana) / ripe / dry or overripe fruit / ripe, rotting / to be ripe, ready to pick / +	
696	ripe-banana	ripe banana				
697	river	river	666	RIVER	current in river / river	
698	road	road/path	2457	PATH OR ROAD	trail, sign, wake, spoor left by man or animal / road/path / track, print / path, way / garden path ? / garden path, trail / faded, pale / bɔřiƀal'a / way, path, road; choice, way / garden / white / path, road, way / trail / trail, path, road, way (Mokorua dialect) / way, road / guitar (lit: 'white person's drum') / road, path / road / road (path) / (AN loan) / to travel; clothes to fade in colour / path / Daga - nain / traveller, guest; journey; string rolled from siria tree / path, road	
699	to-roast	roast	1962	ROAST (SOMETHING)	to bake, to roast directly on the coals / to bake, to roast / to set fire, to roast, grill / bread / bake, roast / to singe, heat at fire / to roast, bake in coals; to glaze clay pots / roast	
700	roofing-grass	roofing grass				Not clear if it should be THATCH
701	rooster	rooster	1511	ROOSTER		
702	root	root	670	ROOT	root, base (of tree) / root/spider / big root (only for trees) / root, base / root / roots, tree fibres / perhaps [plai] / big root / miri [buttress] / root of tree / generic term for root / spirit - guawa / [r] or [v] / 'hɔkɔ h nʌwaⁱ / small root / (its) root / +	
703	rope	rope	1218	ROPE	rope, rattan / rope / bark string / vine, string, rope / vine, rope / generic term for vine; rope / rope (native) / string / rope / snake / vine, rope, string / also 'rattan' / (vine) / vine / vine (generic term) / string / vine; rope / generic term for vine, rope / rope, string, whip snake / rope (vine) / noose for birds / shackles, manacles, handcuffs, tether / vines / tendon; nerve; vine, vine string, cord / belt, rope / string, rope	
704	rotten	rotten	1728	ROTTEN	adj / rotten house / rotted / rotten / rotten thing / Laiapo dialect / [?] / ripe (banana) / rotting	
705	round	round	1395	ROUND	round / spherical / = 2 / tɨpia məmə	
706	sago	sago	2270	SAGO	sago/food / bush / sago (generic term) / sago / sago, bush (Ambasi) / food (generic term) / sago, bread / -	
707	sago-flour	sago flour				
708	sago-grub	sago grub	2802	SAGO GRUB		
709	sago-midrib	sago midrib				
710	sago-palm	sago palm	2372	SAGO PALM		
711	sago-pancake	sago pancake				
712	sago-pith	sago pith				
713	sago-porridge	sago porridge				
714	sago-pulp	sago pulp				
715	sago-refuse	sago refuse				
716	sago-stirrer	sago stirrer				
717	sago-swamp	sago swamp				
718	sago-thatch	Sago thatch	2616	SAGO THATCH		
719	sago-tree	sago tree				
720	sago-trough	sago trough				
721	saliva	saliva	1503	SALIVA	+	
722	salt	salt	1274	SALT	salt - native / salt / = sea / (AN loan) / Indo. / - / Dani	
723	same	same	200	SAME		
724	sand	sand	671	SAND	not sure whether this is /l/ or /i/ / sand / + / white sand / white sand beach / black sand (often used as a name avoidance word for gonesa) / sand; rice / [K] / beach / rice	
725	sandfly	sandfly	95	SANDFLY	flea / sandfly / sandflies / mosquito	
726	sap	sap	345	SAP	sap from tree, juice from sugarcane or fruit or coconut / sap, juice, milk / wet / sap / tree sap / sap from a tree, juice from sugar cane or fruit or coconut / milk / excretion, juice from living thing, sap, pus / sap (also 'wet') / sap, juice from fruit / white of egg, sap, rubber	
727	sawfish	sawfish			Sawfish (shark family) / sawfish / saw-fish, chili	
728	scabies	scabies	3172	SCABIES		
729	scar	scar	497	SCAR		
730	scrotum	scrotum	797	TESTICLES		
731	sea	sea	1474	SEA	sea / ocean, sea / ocean(wards) / wave(s), rough sea; ocean, salt water / salt / open sea	
732	search	search	1468	LOOK FOR		
733	sea-side-west	sea side (west)				
734	seat	seat	1476	CHAIR	seat (his)	
735	secretly	secretly				
736	seed	seed	714	SEED	seed, seedling, sprout / sprout, young plant / (its) seed / seed / plant / seed (for planting) / pe·si / Motu loan / fruit of tree / fruit, seed / seeds / seed, seedling, shoot; cat's cradle, children's string game / seed (generic term) / seed, seedling / seed (plant) / plant thing / same as 'teeth'	
737	self-reflexive	self, reflexive	1993	SELF		
738	separative	separative				
739	seven	seven	1704	SEVEN	seven / 2+2+2+1 / 5+2 / < AN	
740	seventeen	seventeen	2453	SEVENTEEN		
741	shadow	shadow	2275	SHADOW	shadow / shade of tree / shade, shadow / shadow of object or person / shade / stump / shade of tree, rock, other inanimate object / shadow of an object / shadow of thing other than person / stump of tree / - / shade (of tree)	
742	shallow	shallow	193	SHALLOW		
743	sharp	sharp	1396	SHARP	sharp-edged / adj / sharp / [K] / +	
744	sheath	sheath			sheath / womb; cocoon; sheath / wrapper / womb, uterus; sheath / womb, uterus / covering, ant's nest, envelope	
745	shellfish	shellfish			sea / shellfish / shell for peeling taro / gardening knife / knife / man's knife	
746	shell-hull	shell, hull			shell of a nut / betelnut shell / shell of shellfish; egg; hull of nuts / used for scraping the flesh / bark of tree / shell / crab / skin, sheath, husk / husk of coconut, peel of banana; flesh / banana skin	We probably need a concept SHELL OR HULL
747	shield	shield	1064	SHIELD		
748	shin-bone	shin bone				
749	shooting-star	shooting star	2288	METEROID (SHOOTING OR SHINING STAR)	shooting star / star / falling star	
750	shoot-plant	shoot, plant			also seedling, container	
751	shore	shore	113	SHORE		
752	short	short	1645	SHORT	(in length) / adj (length and height) / briefly, shortly / short / things / panbiakʰi kʰay / short thing / -	
753	short-people	short (people)				
754	short-piece-wood	short-piece-of-wood			(Acɨ dialect) / piece of wood / piece / stick	
755	short-things	short (things)				
756	shoulder	shoulder	1482	SHOULDER	'shoulder blade' / arm / shoulder / to dance / (his) shoulder / shoulder (blade) / his shoulder / shoulder blade / Daga - onewa / [P] / forearm / +	
757	shrimp	shrimp	2349	SHRIMP		
758	shrub	shrub	751	SHRUB		
759	shy-ashamed	shy, ashamed	487	SHY	ashamed / Austronesian / shame / feel ashamed / I am ashamed / Vcls 3 / shame, shyness	
760	sibling-older	sibling older	405	OLDER SIBLING	older sibling (referential and address) / (older) brother (male) / (older) brother (male) (for firstborn) / (older) sibling (female)	
761	sibling-opposite-sex	sibling, opposite sex			(female's) brother (female referential term) / my sibling (opposite sex, older) / sister (boy's) / brother (female referential term) / girl's brother / brother (of girl) / his sister / sister / sibling (opposite sex, older) / brother / older brother/sister / boy's brother / brother (of woman) / older sister of man / sibling to opposite sex / brother (general referential term females use)	
762	sibling-opposite-sex-older	sibling, opposite sex, older	3039	DIFFERENT-SEX OLDER SIBLING	elder sister / sibling, opposite sex, older, elder sister	
763	sibling-opposite-sex-younger	sibling, opposite sex, younger	3040	DIFFERENT-SEX YOUNGER SIBLING		
764	siblings	siblings	1640	SIBLING	younger brothers, siblings / younger siblings, brothers and sisters / younger brothers and sisters / younger siblings / sisters	
765	sibling-same-sex	sibling, same sex				
766	sibling-same-sex-older	sibling, same sex, older	3037	SAME-SEX OLDER SIBLING	sibling, same sex, older	
767	sibling-same-sex-younger	sibling, same sex, younger	3038	SAME-SEX YOUNGER SIBLING	sibling, same sex, younger / brother	
768	sibling-younger	sibling younger	427	YOUNGER SIBLING		
769	side	side	866	WIN	lie (recline) / side / person's side / side of body / beside (stone) (movment) / across, over on the other side / across / five (lit: 'across a hand') / side, on one side	
770	similar	similar	1558	SIMILAR		
771	singapore-taro	singapore taro	351	TARO	(dubious)	
772	singsing	singsing			(-)	Traditional FESTIVAL
773	sister	sister	1263	SISTER	sister 2 / (his) sister / sister of woman / sister 1 / sister (older of man) / sisters, woman's female relatives in her generation / younger sibling / sister-in-law / sister (elder) / sister (of woman) / his sister / man's sister / elder sister / my sister / male speaking / younger sister (male and female referential and address kin term) / older of man / ipu sister first / ? / younger sister / ařupu / elder sister; my sister (man speaking)	
774	sister-law	sister in law	2317	SISTER-IN-LAW	tabu female relatives / sister-in-law, brother's wife, husband's sister (female referential term) / sister-in-law: husband's sisters and female cousins, brother's and male cousin's wife / sister-in-law to man / sister-in-law: woman's brother's wife, husband's sister / sister-in-law (girl's) / woman's sister-in-law / sister-in-law, sister of another clan / sister-in-law (referential term for husband's sister or brother's wife) / sister-in-law to woman / sister-in-law	
775	sit-feet-and-legs-together	sit (with feet and legs together)				Hyponym of SIT 1416?
776	six	six	1703	SIX	5 + 1 / 2+2+1 / six / 3+3 / 5+1 / < AN?	
777	sixteen	sixteen	2454	SIXTEEN		
778	skin	skin	763	SKIN	his skin / bark/skin / skin (human) / skin, bark (of tree) / nanguni mnanaki pondo / skin (his) / tomolu / my skin / skin (any: animal, human, tree) / skin (of people/animals); tree bark / skin (my) / s~ts / of human/animal / body, side; human body / - / skin (borrowed) / man / (its) skin / Daga - oapinuwa / body / skin of fruit / 'r' almost silent / pÉ™ppÉ™k also of 'peel', 'bark' etc. / skin / only in plural form / bark of tree	
779	skinny	skinny	1400	THIN (SLIM)		
780	skirt	skirt	1600	SKIRT	grass skirt	
781	skull	skull	1605	SKULL	human skull	
782	sky	sky	1732	SKY	cloud / air, sky / sky, heaven(s) / sky / sky, heaven / the blue sky, clouds are below it / heaven; loanword / sky; heaven(s) / heaven / [K] / sky, day	
783	sleeping-mat	sleeping mat				
784	sleepy	sleepy				
785	slick	slick				
786	slip-of-foot	slip of foot	1324	SLIP	slip of foot / I jumped / to slither	
787	slippery	slippery				
788	slope	slope	3076	SLOPE		
789	slow	slow	701	SLOW		
790	slowly	slowly	2165	SLOWLY		
791	small	small	1246	SMALL	little, small, tiny / thin / little, small / small, short / father's brother / small, little / for +b> / little / (AN? Nochi: dokdok) / plural / child / child (male) / small, little (pl.) / small (of house) / children / - / singular / sibling (same sex, younger) / small of house / maternal aunt / adj also 'thin', 'narrow' / kedeʔa korumpai 'small stone' / my sibling (same sex, younger) / tiny, teeny-weeny / singular and plural / younger brother (male/female address term) / Daga - otukuentu / small / path / small ones	
792	small-mammal	small mammal				
793	smelly	smelly	42	STINKING		
794	smoke	smoke	778	SMOKE (EXHAUST)	cloud / (fire) smoke / hᵊgita / smoke / [S] / smoke, name avoidance word for tobacco / -	
795	smooth	smooth	1234	SMOOTH		
796	snail	snail	1543	SNAIL		
797	snake	snake	730	SNAKE	snake (tree sp.) / snake / kəmbʷeⁱ / snake, generic term for snake-shaped creatures, e.g. parasitic worms, eels / snake (generic term) / python / generic term for snake / snake (land sp.) / [K] / Proto-Oceanic Loan / snake variety / -	
798	snot	snot	208	NASAL MUCUS (SNOT)		
799	snow	snow	784	SNOW		
800	soft	soft	1856	SOFT	shadow of person / senile / fool / insipid; softened, weakened; impotent; sapless, marrowless, pithless, sinewless / soft	
801	sole-of-foot	sole (of foot)	2666	SOLE (FOOT)	sole / sole of foot	
802	some	some	1241	SOME	some	
803	son	son	1620	SON	son / son, nephew	
804	song	song	1096	SONG	singsing (=song)	
805	sorcery	sorcery				
806	sore-wound	sore, wound	51	SORE	sore / boil on skin / -	
807	soup	soup	1547	SOUP	broth/soup from boiling vegetables or meat / broth / broth from vegetables or shell fish, any liquid boiled in pot; tea / milk / soup	
808	sour	sour	1906	SOUR		
809	spade	spade	1176	SPADE	used to break up soil	
810	spark	spark	518	SPARK		
811	spear-n	spear (N)	945	SPEAR	spear (n) / spear / spear, javelin / bush hunting spear made from black palm / arrow (spear) / pig spear with black palm prongs / arrow / to spear, pierce / +	
812	speech	speech	1115	SPEECH	'singsing' / (Acɨ dialect)	
813	spider	spider	843	SPIDER	[A] / spider	
814	spine-of-leaf	spine of leaf				
815	spirit	spirit	53	SPIRIT	spirit (Motu loan) / mirror / trance / shadow, picture, mirror, spirit / spirit, soul / spirit / spirit(s)	
816	spittle	spittle	1503	SALIVA		
817	squash	squash			'squash 1' / 'squash 2'	
818	squid-ink	squid (ink)	2643	INK	cuttlefish's black ink; black dye made from cuttlefish's or squid's black ink or from burnt coconut husk ashes / ink / squid ink, used as a dye for drawing on tapa bark cloth / squid / squid ink used as dye to draw on tapa bark cloth / pencil	
819	staff	staff				
820	stairs	stairs	34	STAIRS	ladder / [K]	
821	stake	stake			used in cultivation	
822	stale	stale				
823	star	star	1430	STAR	shooting star / star(s) (generic term) / star / star(s) / star (pl.) / Daga - buanae / nigonu (?) / (AN loan < Morning star) / star (small) / muřɩʔ / (AN? = Nochi) / people of another place / planets and shooting stars / 't' similar to 'ř' / +	
824	statue	statue	1002	STATUE	ancestral figure carved in wood	
825	stick	stick	1295	STICK	planting stick, wooden sword / used for digging/gardening / tree, wood / tree/wood / tayaŋ - fight, ta·duŋ - walk, punum - garden / lime spatula (generic term) / wood / dibble stick / stick/tree / stick for hulling coconut / stick (cf. ituka) / knot in a tree / - / lime spatula / tree / stick / limestick / stump of tree / bark (not useful) / lime stick	
826	stir-paddle	stir, paddle	696	STIR	I swam / paddle / to go by water, to stir / paddle; mash / swim / pudding/stew made from yams or sweet potatoes mashed with coconut / mix (stir) / paddle a canoe or boat; mash / salt water / he swims / skim surface of liquid or malleable substance, stir sweet potato, paddle canoe / fish's tail / stir, paddle / paddle a canoe or boat / swim (not bathe) / water	
827	stomach	stomach	819	STOMACH	liver / stomach / stomach; gizzard / kok - dung / digestive organ / (-) / gall bladder / navel / bile / -	
828	stone	stone	857	STONE	rock / ra̠mbat / zva / small stone / fingernail / projection or extrusion of igneous volcanic rock / big stone / [W] / stone, rock, money / very many (all) stones / stone / money, stone / rock, stone; money / stone war club / stone club / stone, rock / Daga -  goat / +	
829	story	story	2060	STORY	story, tale, legend, history / story, tall tale, legend / tall tale; legend; story / story / narrative, history / story, tradition / story, tales; custom; history / story, history	
